marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate
KLK3,KLK2,AND,18,0.9544214069843292,0.979899,0.97948784,0.26731372,0.85333335,0.6512821,prostate gland,luminal cell of prostate epithelium,0.013788065,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7125853,0.96611094
STEAP2,KLK2,AND,18,0.9123529374599457,0.959596,0.95175076,0.25324568,0.7822222,0.6820513,prostate gland,luminal cell of prostate epithelium,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.7063503,0.94255054
TMPRSS2,KLK2,AND,18,0.8871572971343994,0.9500416,0.9366578,0.25265992,0.61777776,0.7,prostate gland,luminal cell of prostate epithelium,0.028409092,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.6973817,0.9216325
EPCAM,KLK2,AND,18,0.7592196226119995,0.9422231,0.9084335,0.2809289,0.6245211,0.53542167,prostate gland,luminal cell of prostate epithelium,0.02631579,tongue,taste receptor cell,2,29,3,10277,0.66129416,0.91590726
SLC45A3,KLK2,AND,18,0.7962352991104126,0.91391945,0.89491737,0.1386409,0.55445546,0.5,prostate gland,luminal cell of prostate epithelium,0.0013772821,uterus,fibroblast,2,6311,3,10277,0.77527857,0.91254216
STEAP2,KLK3,AND,18,0.9331927239894867,0.9528846,0.9516426,0.24643421,0.76,0.74358976,prostate gland,luminal cell of prostate epithelium,0.04098374,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7064504,0.9119009
SLC45A3,KLK3,AND,18,0.7951764643192292,0.90750915,0.894212,0.13745324,0.57425743,0.4974359,prostate gland,luminal cell of prostate epithelium,0.00905184,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7700559,0.8984573
TACSTD2,KLK2,AND,18,0.8293199419975281,0.9081054,0.8973642,0.34559816,0.6666667,0.61783135,prostate gland,luminal cell of prostate epithelium,0.025467671,exocrine gland,duct epithelial cell,4,3825,3,10277,0.5625072,0.8826377
CD46,KLK2,AND,18,0.8441307425498963,0.9355575,0.92312646,0.31277487,0.6915709,0.7076923,prostate gland,luminal cell of prostate epithelium,0.065519474,uterus,fibroblast,2,6311,3,10277,0.6227826,0.87003803
STEAP1,KLK3,AND,18,0.7174969553947449,0.86984754,0.8592878,0.20555724,0.64,0.67903614,prostate gland,luminal cell of prostate epithelium,0.009326047,exocrine gland,duct epithelial cell,4,3825,3,10277,0.6642903,0.8605215
STEAP1,KLK2,AND,18,0.7370184123516083,0.86426973,0.8571705,0.21762449,0.64,0.62987953,prostate gland,luminal cell of prostate epithelium,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.64664525,0.8585879
STEAP2,SLC45A3,AND,18,0.7847058713436127,0.89318085,0.8807719,0.13709486,0.5247525,0.50769234,prostate gland,luminal cell of prostate epithelium,0.03700486,lung,respiratory goblet cell,4,978,3,10277,0.756086,0.856176
TMPRSS2,KLK3,AND,18,0.8936605334281922,0.9533675,0.9364455,0.23842168,0.60888886,0.78205127,prostate gland,luminal cell of prostate epithelium,0.115504965,exocrine gland,duct epithelial cell,4,3825,3,10277,0.7149458,0.8378625
STEAP1,SLC45A3,AND,18,0.6490608930587769,0.82508934,0.8040747,0.11959301,0.4719472,0.4871795,prostate gland,luminal cell of prostate epithelium,0.039315574,liver,hepatocyte,4,7400,3,10277,0.7054963,0.78577375
CDH1,KLK2,AND,18,0.5864957511425019,0.80450404,0.7723067,0.2298221,0.54789275,0.6948718,prostate gland,luminal cell of prostate epithelium,0.02631579,tongue,taste receptor cell,2,29,3,10277,0.57468194,0.7781882
CD46,KLK3,AND,18,0.8532216548919678,0.94239265,0.92454505,0.32134533,0.65900385,0.7948718,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.6210473,0.77572596
EPCAM,KLK3,AND,18,0.7592196226119995,0.93969697,0.9100323,0.2601862,0.58237547,0.59228915,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.6795108,0.7730303
TACSTD2,KLK3,AND,18,0.8293199419975281,0.9186233,0.89967376,0.3474717,0.6245211,0.6843374,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.5711516,0.75195664
STEAP4,KLK2,AND,18,0.6318312644958496,0.7633683,0.7751504,0.17279908,0.6488889,0.5262651,prostate gland,luminal cell of prostate epithelium,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.59056926,0.7463229
SLC45A3,EPCAM,AND,18,0.7051213681697845,0.85629225,0.8390924,0.12523113,0.47524753,0.40578315,prostate gland,luminal cell of prostate epithelium,0.121212125,stomach,epithelial cell,3,1596,3,10277,0.7310611,0.7350801
SLC45A3,TMPRSS2,AND,18,0.7817188858985901,0.88737845,0.86947334,0.1374726,0.5412541,0.5051282,prostate gland,luminal cell of prostate epithelium,0.15440115,stomach,epithelial cell,3,1596,3,10277,0.7499058,0.7329773
FOLH1,KLK2,AND,18,0.4959707170724869,0.7304324,0.72041625,0.095961146,0.7022222,0.5589744,prostate gland,luminal cell of prostate epithelium,0.0056818184,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.63447124,0.7247506
FOLH1,KLK3,AND,18,0.4959707170724869,0.7304324,0.7220919,0.09348181,0.7111111,0.57179487,prostate gland,luminal cell of prostate epithelium,0.006479214,exocrine gland,duct epithelial cell,4,3825,3,10277,0.6369506,0.7239532
HPN,KLK3,AND,18,0.5482803344726562,0.70343435,0.6877868,0.058813915,0.3911111,0.24615385,prostate gland,luminal cell of prostate epithelium,0.008540502,exocrine gland,duct epithelial cell,4,3825,3,10277,0.6446204,0.69489384
HPN,KLK2,AND,18,0.5433391749858856,0.70343435,0.686747,0.060514074,0.3911111,0.24102564,prostate gland,luminal cell of prostate epithelium,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.64292026,0.6920707
STEAP4,KLK3,AND,18,0.6346547901630402,0.7547476,0.7747767,0.16819835,0.63555557,0.5681928,prostate gland,luminal cell of prostate epithelium,0.075382754,exocrine gland,duct epithelial cell,4,3825,3,10277,0.5865493,0.67936486
STEAP4,SLC45A3,AND,18,0.5955032885074616,0.7069836,0.7231248,0.102532454,0.41777778,0.3846154,prostate gland,luminal cell of prostate epithelium,0.045361914,vasculature,pericyte,4,1026,3,10277,0.6044512,0.6616217
CDH1,KLK3,AND,18,0.5864957511425019,0.8034035,0.772499,0.21033499,0.5280528,0.77692306,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.5930685,0.6367368
SLC45A3,TACSTD2,AND,18,0.7100000083446503,0.8208444,0.8291485,0.13770595,0.51155114,0.47662652,prostate gland,luminal cell of prostate epithelium,0.19587629,ovary,glandular epithelial cell,3,232,3,10277,0.6831385,0.6249681
FOLH1,SLC45A3,AND,18,0.48250916898250584,0.67056274,0.67654014,0.08094748,0.4311111,0.4923077,prostate gland,luminal cell of prostate epithelium,0.05263158,small intestine,paneth cell of epithelium of small intestine,5,1657,3,10277,0.5896153,0.6179312
SLC45A3,CDH1,AND,18,0.5458476662635803,0.7257408,0.7133411,0.10980284,0.46864685,0.5051282,prostate gland,luminal cell of prostate epithelium,0.14285715,stomach,epithelial cell,3,1596,3,10277,0.61593795,0.58288366
ADAM9,KLK2,AND,18,0.5747050523757935,0.6324047,0.65947497,0.1746092,0.40421456,0.5903614,prostate gland,luminal cell of prostate epithelium,0.051883023,uterus,fibroblast,2,6311,3,10277,0.4577955,0.58052164
SLC45A3,HPN,AND,18,0.48584731221199035,0.6353846,0.6398257,0.036363635,0.24444444,0.22307692,prostate gland,luminal cell of prostate epithelium,0.097865835,liver,hepatocyte,4,7400,3,10277,0.59902096,0.5375188
STEAP1,STEAP2,AND,18,0.722748464345932,0.85459507,0.84674335,0.2530443,0.60888886,0.67421687,prostate gland,luminal cell of prostate epithelium,0.32668775,lung,respiratory goblet cell,4,978,3,10277,0.60155076,0.5279073
FOLH1,STEAP1,AND,18,0.44972526729106904,0.6872707,0.65893745,0.086097404,0.5644444,0.5166265,prostate gland,luminal cell of prostate epithelium,0.16666667,respiratory system,mucus secreting cell,5,269,3,10277,0.6011733,0.520604
SLC45A3,CD46,AND,18,0.7562268018722534,0.8865741,0.85369545,0.13673411,0.5313531,0.5051282,prostate gland,luminal cell of prostate epithelium,0.375,respiratory system,mast cell,3,115,3,10277,0.74983996,0.5115741
ADAM9,KLK3,AND,18,0.5618216216564178,0.6282871,0.6568227,0.17084163,0.38314176,0.64122134,prostate gland,macrophage,0.121380605,exocrine gland,duct epithelial cell,4,3825,3,1022,0.45744544,0.50690645
STEAP1,HPN,AND,18,0.4758865267038345,0.64734924,0.636146,0.06336045,0.3288889,0.2106024,prostate gland,luminal cell of prostate epithelium,0.16628249,liver,hepatocyte,4,7400,3,10277,0.5839888,0.48106676
STEAP2,HPN,AND,18,0.5237797439098358,0.68848485,0.6769597,0.067239255,0.37777779,0.24871795,prostate gland,luminal cell of prostate epithelium,0.23038961,pancreas,type B pancreatic cell,2,102,3,10277,0.6212456,0.45809525
STEAP1,TMPRSS2,AND,18,0.6998159348964691,0.84336674,0.8354623,0.24520615,0.49834985,0.67228913,prostate gland,luminal cell of prostate epithelium,0.4006279,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5981606,0.44273883
FOLH1,HPN,AND,18,0.24797111451625825,0.5229412,0.5185651,0.026513025,0.36,0.22843373,prostate gland,luminal cell of prostate epithelium,0.09283841,liver,hepatocyte,4,7400,3,10277,0.49642813,0.43010277
ERBB2,KLK2,AND,18,0.3167024552822113,0.4600041,0.5011222,0.17131329,0.49233717,0.5710843,prostate gland,luminal cell of prostate epithelium,0.033333335,lymph node,endothelial cell,4,126,3,10277,0.2886908,0.42667076
STEAP2,EPCAM,AND,18,0.7444593131542205,0.9251132,0.8895107,0.3291402,0.5379538,0.5773494,prostate gland,luminal cell of prostate epithelium,0.51103663,bladder organ,bladder urothelial cell,6,26663,3,10277,0.595973,0.41407657
FOLH1,STEAP2,AND,18,0.4844780176877976,0.72646415,0.71068037,0.09115643,0.6711111,0.5820513,prostate gland,luminal cell of prostate epithelium,0.31578946,respiratory system,mucus secreting cell,5,269,3,10277,0.6353077,0.4106747
STEAP1,CD46,AND,18,0.7388589084148407,0.8482089,0.82611465,0.3255635,0.5412541,0.68289155,prostate gland,luminal cell of prostate epithelium,0.448972,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5226454,0.39923692
STEAP1,EPCAM,AND,18,0.6673246264457703,0.8500061,0.8183596,0.29955268,0.48514852,0.4939759,prostate gland,luminal cell of prostate epithelium,0.4651635,lung,respiratory goblet cell,4,978,3,10277,0.5504534,0.3848426
SLC45A3,ADAM9,AND,18,0.5230543136596679,0.6023276,0.6217618,0.0756254,0.31023103,0.45897436,prostate gland,luminal cell of prostate epithelium,0.22222222,respiratory system,mast cell,3,115,3,10277,0.52670217,0.38010538
STEAP2,TMPRSS2,AND,18,0.8567099690437316,0.92616755,0.9173453,0.28188014,0.5733333,0.85128206,prostate gland,luminal cell of prostate epithelium,0.5467964,bladder organ,bladder urothelial cell,6,26663,3,10277,0.6442874,0.37937117
STEAP1,TACSTD2,AND,18,0.6886153995990754,0.83697397,0.80343926,0.34917158,0.5445545,0.5677108,prostate gland,luminal cell of prostate epithelium,0.4893328,lung,respiratory goblet cell,4,978,3,10277,0.4878024,0.34764117
SLC45A3,ERBB2,AND,18,0.27408210784196857,0.44397846,0.46511358,0.07040316,0.35313532,0.43325302,prostate gland,luminal cell of prostate epithelium,0.1,ovary,glandular epithelial cell,3,232,3,10277,0.3735753,0.34397846
TMEFF2,KLK2,AND,18,0.10101449191570282,0.3566885,0.40917903,0.018678658,0.61333334,0.23589744,prostate gland,luminal cell of prostate epithelium,0.02631579,tongue,taste receptor cell,2,29,3,10277,0.33800983,0.33037272
TMEFF2,KLK3,AND,18,0.10101449191570282,0.3566885,0.40986884,0.019790078,0.60888886,0.23333333,prostate gland,luminal cell of prostate epithelium,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.33689842,0.33017334
STEAP1,STEAP4,AND,18,0.5235070139169693,0.7402549,0.7067265,0.16820753,0.4977778,0.46650603,prostate gland,luminal cell of prostate epithelium,0.41342956,lung,respiratory goblet cell,4,978,3,10277,0.57204735,0.32682532
ERBB2,KLK3,AND,18,0.3167024552822113,0.4657383,0.501293,0.16973731,0.45785442,0.62650603,prostate gland,luminal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,10277,0.296001,0.2990716
FOLH1,TACSTD2,AND,18,0.4385073244571686,0.71320343,0.6740639,0.092207044,0.43555555,0.4795181,prostate gland,luminal cell of prostate epithelium,0.41463414,respiratory system,mucus secreting cell,5,269,3,10277,0.62099636,0.2985693
STEAP1,CDH1,AND,18,0.55695139169693,0.7405002,0.7024208,0.23567025,0.46534654,0.66361445,prostate gland,luminal cell of prostate epithelium,0.4547996,lung,respiratory goblet cell,4,978,3,10277,0.50482994,0.28570062
STEAP1,TMEFF2,AND,18,0.08434482812881469,0.34136453,0.37651217,0.01603295,0.50666666,0.22820513,prostate gland,luminal cell of prostate epithelium,0.05882353,musculature,epithelial cell,2,48,3,10277,0.32533157,0.282541
STEAP2,CD46,AND,18,0.8345638453960419,0.9141776,0.904412,0.3468404,0.5973597,0.86650604,prostate gland,luminal cell of prostate epithelium,0.6383317,bladder organ,bladder urothelial cell,6,26663,3,10277,0.56733716,0.2758459
FOLH1,STEAP4,AND,18,0.3561904847621918,0.5915792,0.59096205,0.06995322,0.56,0.4173494,prostate gland,luminal cell of prostate epithelium,0.31707317,respiratory system,mucus secreting cell,5,269,3,10277,0.521626,0.27450603
MME,KLK3,AND,18,0.0270750742405653,0.28494355,0.31142437,0.1281053,0.4719472,0.45454547,prostate gland,basal cell of prostate epithelium,0.022727273,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,3440,0.15683825,0.26221627
STEAP2,TMEFF2,AND,18,0.10101449191570282,0.3538204,0.4067305,0.01858397,0.5777778,0.23589744,prostate gland,luminal cell of prostate epithelium,0.0952381,eye,retinal bipolar neuron,3,55,3,10277,0.33523643,0.25858232
TMEFF2,SLC45A3,AND,18,0.08511199057102203,0.35286438,0.39271313,0.013305329,0.38222224,0.22307692,prostate gland,luminal cell of prostate epithelium,0.09461805,vasculature,mast cell,2,91,3,10277,0.33955905,0.25824633
STEAP2,TACSTD2,AND,18,0.7675384461879731,0.89919615,0.8786433,0.36386633,0.5940594,0.6626506,prostate gland,luminal cell of prostate epithelium,0.64135087,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5353298,0.25784528
CD276,KLK3,AND,18,0.1920289844274521,0.2957616,0.31401902,0.050761174,0.17049809,0.27855423,prostate gland,luminal cell of prostate epithelium,0.050402902,exocrine gland,duct epithelial cell,4,3825,3,10277,0.2450004,0.24535868
NECTIN4,KLK2,AND,18,0.15093070268630981,0.25875676,0.30191734,0.07168557,0.26819924,0.2746988,prostate gland,luminal cell of prostate epithelium,0.013841396,exocrine gland,duct epithelial cell,4,3825,3,10277,0.18707119,0.24491537
CD276,KLK2,AND,18,0.1920289844274521,0.28823954,0.31343186,0.06374177,0.17624521,0.2554217,prostate gland,luminal cell of prostate epithelium,0.046243623,uterus,fibroblast,2,6311,3,10277,0.22449777,0.24199592
TMEFF2,HPN,AND,18,0.0560969527810812,0.30239898,0.33457196,0.0049393997,0.31555554,0.1,prostate gland,luminal cell of prostate epithelium,0.0625,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.29745957,0.23989898
SLC45A3,CD276,AND,18,0.18914436697959902,0.28823954,0.29980245,0.030364804,0.14851485,0.20337349,prostate gland,luminal cell of prostate epithelium,0.050985225,lung,basophil,4,1308,3,10277,0.25787473,0.23725432
STEAP2,STEAP4,AND,18,0.6226428925991059,0.74750125,0.7647225,0.18820721,0.60444444,0.56096387,prostate gland,luminal cell of prostate epithelium,0.5164285,lung,respiratory goblet cell,4,978,3,10277,0.55929404,0.23107278
HPN,TACSTD2,AND,18,0.5003039509057998,0.6625,0.6491863,0.097997636,0.24,0.43678093,pancreas,pancreatic acinar cell,0.43678093,pancreas,pancreatic acinar cell,2,5482,2,5482,0.56450236,0.2257191
TMEFF2,TMPRSS2,AND,18,0.10101449191570282,0.35126182,0.4001282,0.017142728,0.45333335,0.23333333,prostate gland,luminal cell of prostate epithelium,0.13207547,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.33411908,0.21918635
NECTIN4,KLK3,AND,18,0.15093070268630981,0.26692355,0.30150092,0.0696052,0.24712643,0.36363637,prostate gland,basal cell of prostate epithelium,0.061915793,exocrine gland,duct epithelial cell,4,3825,3,3440,0.19731835,0.20500776
MME,KLK2,AND,18,0.0270750742405653,0.27754012,0.30985615,0.14696941,0.46534654,0.42307693,prostate gland,luminal cell of prostate epithelium,0.075610965,uterus,fibroblast,2,6311,3,10277,0.13057071,0.20192915
TMEFF2,TACSTD2,AND,18,0.09586207047104836,0.33042848,0.38496965,0.018489674,0.37333333,0.22307692,prostate gland,luminal cell of prostate epithelium,0.13750373,lung,pulmonary alveolar type 1 cell,4,3046,3,10277,0.31193882,0.19292475
SLC45A3,MME,AND,18,0.02630187831819058,0.27283424,0.30077562,0.06681532,0.44554454,0.32564104,prostate gland,luminal cell of prostate epithelium,0.08730159,small intestine,intestinal crypt stem cell of small intestine,5,531,3,10277,0.20601892,0.18553266
SLC45A3,NECTIN4,AND,18,0.13440722078084946,0.24716243,0.27874455,0.0348797,0.20792079,0.1879518,prostate gland,luminal cell of prostate epithelium,0.062195122,uterus,ciliated epithelial cell,2,317,3,10277,0.21228273,0.18496731
TMEFF2,CD46,AND,18,0.10101449191570282,0.3477472,0.38621688,0.021837406,0.45333335,0.23333333,prostate gland,luminal cell of prostate epithelium,0.17281349,bone marrow,common myeloid progenitor,4,359,3,10277,0.3259098,0.17493372
STEAP1,ADAM9,AND,18,0.4608974277973175,0.59763515,0.6035572,0.17387335,0.31555554,0.5257831,prostate gland,luminal cell of prostate epithelium,0.423365,lung,respiratory goblet cell,4,978,3,10277,0.42376179,0.17427015
STEAP4,TMEFF2,AND,18,0.07834482826292516,0.30584693,0.34988517,0.009809616,0.4888889,0.15897436,prostate gland,luminal cell of prostate epithelium,0.1344697,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.29603732,0.17137723
STEAP2,CDH1,AND,18,0.5782584846019745,0.79834056,0.755785,0.26462483,0.50165015,0.8313253,prostate gland,luminal cell of prostate epithelium,0.636322,bladder organ,bladder urothelial cell,6,26663,3,10277,0.5337157,0.16201854
TMEFF2,EPCAM,AND,18,0.08673163577914238,0.33428016,0.3837341,0.015915819,0.39555556,0.20963855,prostate gland,luminal cell of prostate epithelium,0.18181819,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.31836435,0.15246198
TMEFF2,CDH1,AND,18,0.07773613333702088,0.300372,0.32450613,0.0143145155,0.21333334,0.22820513,prostate gland,luminal cell of prostate epithelium,0.14923412,lung,pulmonary alveolar type 1 cell,4,3046,3,10277,0.2860575,0.15113789
PSCA,KLK2,AND,18,0.068693021312356,0.16233766,0.25283808,0.08461143,0.27062705,0.2794872,prostate gland,luminal cell of prostate epithelium,0.017272769,exocrine gland,duct epithelial cell,4,3825,3,10277,0.07772623,0.14506489
HPN,ADAM9,AND,18,0.32137479186058043,0.47727275,0.4862653,0.045881215,0.19555555,0.3564912,lung,pulmonary alveolar type 2 cell,0.3564912,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.43139154,0.12078154
FOLH1,TMEFF2,AND,18,0.06890645474195481,0.22927979,0.3389352,0.010478385,0.5777778,0.23333333,prostate gland,luminal cell of prostate epithelium,0.10989011,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.21880141,0.119389676
PSCA,KLK3,AND,18,0.068693021312356,0.16233766,0.25243744,0.08940267,0.26732674,0.35897437,prostate gland,luminal cell of prostate epithelium,0.05190035,exocrine gland,duct epithelial cell,4,3825,3,10277,0.07293499,0.11043731
HPN,TMPRSS2,AND,18,0.5386032640933991,0.68848485,0.66942066,0.069638334,0.31111112,0.5831559,pancreas,pancreatic acinar cell,0.5831559,pancreas,pancreatic acinar cell,2,5482,2,5482,0.61884654,0.10532898
STEAP4,HPN,AND,18,0.3632941275835037,0.57259184,0.5646272,0.045073643,0.2888889,0.47576505,lung,pulmonary alveolar type 2 cell,0.47576505,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.5275182,0.09682679
TMEFF2,ADAM9,AND,18,0.054425865039229394,0.24669775,0.2969874,0.010300703,0.32,0.20769231,prostate gland,luminal cell of prostate epithelium,0.14990512,musculature,epithelial cell,2,48,3,10277,0.23639706,0.09679264
STEAP1,MME,AND,18,0.0270750742405653,0.26813388,0.284466,0.144636,0.42574257,0.37638554,prostate gland,luminal cell of prostate epithelium,0.18074721,bladder organ,bladder urothelial cell,6,26663,3,10277,0.12349787,0.08738667
