marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate
FOLH1,ERBB2,AND,18,0.17817869484424592,0.35064936,0.39463133,0.042959183,0.25412542,0.58474576,small intestine,paneth cell of epithelium of small intestine,0.58474576,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.30769017,-0.23409641
PSCA,CEACAM5,AND,18,0.0,0.0,0.0015826616,0.002688172,0.06004619,0.23504746,lung,respiratory goblet cell,0.23504746,lung,respiratory goblet cell,4,978,4,978,-0.002688172,-0.23504746
CDH1,CDH16,AND,18,0.0,0.0,0.00030853593,0.0,0.03448276,0.2357325,tongue,stratified squamous epithelial cell,0.2357325,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.2357325
HPN,MSLN,AND,18,0.0,0.0,0.0028921631,0.0,0.0066115703,0.24742268,ovary,glandular epithelial cell,0.24742268,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.24742268
TACSTD2,CDH16,AND,18,0.0,0.0,0.00030853593,0.0,0.03448276,0.24748582,tongue,stratified squamous epithelial cell,0.24748582,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.24748582
CD276,MUC1,AND,18,0.0,0.041514043,0.059632406,0.028362677,0.08812261,0.29268292,respiratory system,mucus secreting cell,0.29268292,respiratory system,mucus secreting cell,5,269,5,269,0.013151366,-0.25116888
PSCA,MME,AND,18,0.0,0.05645477,0.07788893,0.04426931,0.18151815,0.31125748,bladder organ,bladder urothelial cell,0.31125748,bladder organ,bladder urothelial cell,6,26663,6,26663,0.012185462,-0.2548027
TMPRSS2,ADAM9,AND,18,0.5251153975725174,0.621022,0.6423183,0.16555873,0.37356323,0.8780488,respiratory system,mucus secreting cell,0.8780488,respiratory system,mucus secreting cell,5,269,5,269,0.45546326,-0.2570268
TACSTD2,ERBB2,AND,18,0.2979487255215645,0.45482177,0.48265103,0.30540782,0.5334873,0.7138756,lung,club cell,0.7138756,lung,club cell,4,1722,4,1722,0.14941394,-0.25905383
STEAP4,ERBB2,AND,18,0.2713921681046486,0.35553056,0.40655532,0.14557621,0.30254042,0.6210155,lung,respiratory goblet cell,0.6210155,lung,respiratory goblet cell,4,978,4,978,0.20995435,-0.26548493
EPCAM,ERBB2,AND,18,0.28824917525053023,0.46215853,0.4911206,0.25655675,0.53065133,0.73000276,lung,club cell,0.73000276,lung,club cell,4,1722,4,1722,0.20560178,-0.26784423
TMPRSS2,GRPR,AND,18,0.0,0.0,0.017160453,0.0,0.008888889,0.2715751,pancreas,pancreatic acinar cell,0.2715751,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.2715751
CEACAM5,NECTIN4,AND,18,0.0,0.0,0.0017026956,0.002688172,0.06235566,0.27380952,respiratory system,basal cell,0.27380952,respiratory system,basal cell,5,10003,5,10003,-0.002688172,-0.27380952
GRPR,MUC1,AND,18,0.0,0.0,0.0014748904,0.0,0.0,0.27497727,pancreas,pancreatic acinar cell,0.27497727,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.27497727
GRPR,EPCAM,AND,18,0.0,0.0,0.017289052,0.0,0.008888889,0.27585876,pancreas,pancreatic acinar cell,0.27585876,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.27585876
STEAP4,NECTIN4,AND,18,0.12677548974752426,0.2227135,0.25968328,0.09470035,0.20826447,0.5,respiratory system,mucus secreting cell,0.5,respiratory system,mucus secreting cell,5,269,5,269,0.12801315,-0.2772865
GRPR,CD46,AND,18,0.0,0.0,0.016703058,0.0,0.008888889,0.2789991,pancreas,pancreatic acinar cell,0.2789991,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.2789991
PSCA,STEAP1,AND,18,0.07031339071691037,0.16233766,0.22221492,0.09818512,0.2429752,0.44206488,bladder organ,bladder urothelial cell,0.44206488,bladder organ,bladder urothelial cell,6,26663,6,26663,0.06415254,-0.27972722
FOLH1,MUC1,AND,18,0.017578347679227592,0.06061934,0.10506433,0.013438268,0.123893805,0.34146342,respiratory system,mucus secreting cell,0.34146342,respiratory system,mucus secreting cell,5,269,5,269,0.04718107,-0.2808441
HPN,GRPR,AND,18,0.0,0.0,0.016463768,0.0,0.008888889,0.2817632,pancreas,pancreatic acinar cell,0.2817632,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.2817632
GRPR,CDH1,AND,18,0.0,0.0,0.014850721,0.0,0.0044444446,0.2880494,pancreas,pancreatic acinar cell,0.2880494,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.2880494
STEAP2,NECTIN4,AND,18,0.15093070268630981,0.26843902,0.2978082,0.09437679,0.21122113,0.5666274,bladder organ,bladder urothelial cell,0.5666274,bladder organ,bladder urothelial cell,6,26663,6,26663,0.17406224,-0.29818836
CD46,ADAM9,AND,18,0.5055555760860443,0.61843336,0.6418931,0.2674296,0.46551725,0.9166667,respiratory system,mucus secreting cell,0.9166667,respiratory system,mucus secreting cell,5,269,5,269,0.35100377,-0.29823333
EPCAM,ADAM9,AND,18,0.4743923991918564,0.625384,0.6296628,0.22131683,0.44252872,0.9268293,respiratory system,mucus secreting cell,0.9268293,respiratory system,mucus secreting cell,5,269,5,269,0.40406716,-0.3014453
CDH1,ERBB2,AND,18,0.19714286029338837,0.44055083,0.4409467,0.20720935,0.46168584,0.7435981,lung,club cell,0.7435981,lung,club cell,4,1722,4,1722,0.23334149,-0.30304727
NECTIN4,MSLN,AND,18,0.0,0.0,0.0013729773,0.017783832,0.17090069,0.3125,eye,corneal epithelial cell,0.3125,eye,corneal epithelial cell,3,4179,3,4179,-0.017783832,-0.3125
CEACAM5,ERBB2,AND,18,0.0,0.0,0.0031546382,0.002688172,0.05773672,0.3137255,colon,enterocyte of epithelium of large intestine,0.3137255,colon,enterocyte of epithelium of large intestine,3,3666,3,3666,-0.002688172,-0.3137255
CD276,FOLR1,AND,18,0.0,0.0,0.0011111111,0.008574352,0.027713627,0.33333334,respiratory system,mucus secreting cell,0.33333334,respiratory system,mucus secreting cell,5,269,5,269,-0.008574352,-0.33333334
TACSTD2,ADAM9,AND,18,0.4819444477558136,0.602353,0.62271935,0.27689752,0.4559387,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.32545546,-0.34501547
STEAP1,MSLN,AND,18,0.0,0.0,0.004082258,0.009366433,0.11778291,0.34973627,lung,respiratory goblet cell,0.34973627,lung,respiratory goblet cell,4,978,4,978,-0.009366433,-0.34973627
FOLH1,FOLR1,AND,18,0.0,0.0,0.0023661677,0.0,0.0039588283,0.35011005,tongue,salivary gland cell,0.35011005,tongue,salivary gland cell,2,734,2,734,0.0,-0.35011005
PSCA,STEAP4,AND,18,0.05931221693754196,0.13311689,0.20812653,0.115584895,0.27933884,0.4883922,lung,respiratory goblet cell,0.4883922,lung,respiratory goblet cell,4,978,4,978,0.017531991,-0.35527533
STEAP4,MME,AND,18,0.01995770586654544,0.21354628,0.24988672,0.08074242,0.31023103,0.5740741,tongue,neutrophil,0.5740741,tongue,neutrophil,2,145,2,145,0.13280386,-0.3605278
MME,ERBB2,AND,18,0.007117367442697288,0.18903048,0.19621757,0.11453103,0.32343236,0.5525424,small intestine,paneth cell of epithelium of small intestine,0.5525424,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.07449945,-0.36351192
STEAP2,MSLN,AND,18,0.0,0.0,0.0040577636,0.016567992,0.12702079,0.3666433,lung,respiratory goblet cell,0.3666433,lung,respiratory goblet cell,4,978,4,978,-0.016567992,-0.3666433
STEAP1,MUC1,AND,18,0.02081908779218793,0.09858891,0.13602863,0.09770115,0.2677686,0.4766482,lung,respiratory goblet cell,0.4766482,lung,respiratory goblet cell,4,978,4,978,0.0008877665,-0.3780593
STEAP1,FOLR1,AND,18,0.0,0.0,0.003477279,0.020912271,0.10344828,0.38419282,lung,respiratory goblet cell,0.38419282,lung,respiratory goblet cell,4,978,4,978,-0.020912271,-0.38419282
PSCA,MSLN,AND,18,0.0,0.0,0.00093395024,0.023480553,0.16859505,0.38846254,lung,respiratory goblet cell,0.38846254,lung,respiratory goblet cell,4,978,4,978,-0.023480553,-0.38846254
CDH1,ADAM9,AND,18,0.4153846204280853,0.5543735,0.5575827,0.17725995,0.4099617,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.37711355,-0.39299494
EPCAM,NECTIN4,AND,18,0.13981959223747253,0.2751125,0.29808408,0.14747673,0.29310346,0.70044374,bladder organ,bladder urothelial cell,0.70044374,bladder organ,bladder urothelial cell,6,26663,6,26663,0.12763578,-0.42533123
TMPRSS2,MSLN,AND,18,0.0,0.0,0.003927045,0.016446441,0.12702079,0.42826086,colon,"BEST4+ intestinal epithelial cell, human",0.42826086,colon,"BEST4+ intestinal epithelial cell, human",4,1090,4,1090,-0.016446441,-0.42826086
STEAP2,MUC1,AND,18,0.02081908779218793,0.10660173,0.15024161,0.10172414,0.2655889,0.5419049,lung,respiratory goblet cell,0.5419049,lung,respiratory goblet cell,4,978,4,978,0.0048775896,-0.4353032
NECTIN4,ERBB2,AND,18,0.08051282204687596,0.14523467,0.20874675,0.09172969,0.2655889,0.5833333,eye,corneal epithelial cell,0.5833333,eye,corneal epithelial cell,3,4179,3,4179,0.05350498,-0.43809864
ADAM9,MME,AND,18,0.019184509944170716,0.21728164,0.23367125,0.1142934,0.29042906,0.66086954,small intestine,paneth cell of epithelium of small intestine,0.66086954,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.10298824,-0.4435879
PSCA,FOLR1,AND,18,0.0,0.0,0.0011111111,0.016275315,0.06928407,0.4436192,lung,respiratory goblet cell,0.4436192,lung,respiratory goblet cell,4,978,4,978,-0.016275315,-0.4436192
MSLN,ERBB2,AND,18,0.0,0.0,0.0012106324,0.018440941,0.1778291,0.45360824,ovary,glandular epithelial cell,0.45360824,ovary,glandular epithelial cell,3,232,3,232,-0.018440941,-0.45360824
TMPRSS2,NECTIN4,AND,18,0.14938431084156037,0.25759083,0.301532,0.10535937,0.25287357,0.7165861,bladder organ,bladder urothelial cell,0.7165861,bladder organ,bladder urothelial cell,6,26663,6,26663,0.15223145,-0.45899528
HPN,FOLR1,AND,18,0.0,0.0,0.00046943242,0.0023829031,0.06896552,0.47162098,lung,pulmonary alveolar type 2 cell,0.47162098,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.0023829031,-0.47162098
PSCA,STEAP2,AND,18,0.06850071363151074,0.16233766,0.2510463,0.109823175,0.22644629,0.6344348,bladder organ,bladder urothelial cell,0.6344348,bladder organ,bladder urothelial cell,6,26663,6,26663,0.052514486,-0.47209716
STEAP2,FOLR1,AND,18,0.0,0.0,0.0023661677,0.021690188,0.10344828,0.4878049,respiratory system,mucus secreting cell,0.4878049,respiratory system,mucus secreting cell,5,269,5,269,-0.021690188,-0.4878049
CEACAM5,MSLN,AND,18,0.0,0.0,0.0,0.000698324,0.06004619,0.49658385,colon,"BEST4+ intestinal epithelial cell, human",0.49658385,colon,"BEST4+ intestinal epithelial cell, human",4,1090,4,1090,-0.000698324,-0.49658385
STEAP4,MSLN,AND,18,0.0,0.0,0.003345513,0.011075228,0.12561983,0.503452,lung,respiratory goblet cell,0.503452,lung,respiratory goblet cell,4,978,4,978,-0.011075228,-0.503452
PSCA,ERBB2,AND,18,0.024540133960545066,0.11196091,0.15636116,0.10333943,0.29090908,0.62112767,bladder organ,bladder urothelial cell,0.62112767,bladder organ,bladder urothelial cell,6,26663,6,26663,0.008621477,-0.5091668
CD46,MME,AND,18,0.025915280357003218,0.27675456,0.3088764,0.22141704,0.53636366,0.8086957,small intestine,paneth cell of epithelium of small intestine,0.8086957,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.05533752,-0.5319411
ADAM9,NECTIN4,AND,18,0.10566349476575852,0.20568731,0.23734304,0.10059306,0.23180076,0.74638224,bladder organ,bladder urothelial cell,0.74638224,bladder organ,bladder urothelial cell,6,26663,6,26663,0.105094254,-0.54069495
FOLH1,MME,AND,18,0.022201295476406816,0.2693048,0.24922283,0.042018544,0.32673267,0.823642,small intestine,enterocyte of epithelium proper of duodenum,0.823642,small intestine,enterocyte of epithelium proper of duodenum,4,13488,4,13488,0.22728626,-0.5543372
CD46,NECTIN4,AND,18,0.13479381874203683,0.26939505,0.2996782,0.15175185,0.33718246,0.8258506,bladder organ,bladder urothelial cell,0.8258506,bladder organ,bladder urothelial cell,6,26663,6,26663,0.11764321,-0.55645555
NECTIN4,MUC1,AND,18,0.0,0.04143773,0.0665758,0.08358259,0.25289255,0.59790134,bladder organ,bladder urothelial cell,0.59790134,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.042144857,-0.5564636
HPN,MUC1,AND,18,0.012752525322139264,0.04761905,0.092680305,0.018330606,0.06896552,0.60748005,pancreas,pancreatic acinar cell,0.60748005,pancreas,pancreatic acinar cell,2,5482,2,5482,0.029288443,-0.559861
TACSTD2,NECTIN4,AND,18,0.137113406509161,0.266527,0.29540738,0.16574049,0.3556582,0.8277296,bladder organ,bladder urothelial cell,0.8277296,bladder organ,bladder urothelial cell,6,26663,6,26663,0.10078651,-0.5612026
NECTIN4,FOLR1,AND,18,0.0,0.0,0.00075075077,0.021150015,0.07852194,0.5833333,respiratory system,mucus secreting cell,0.5833333,respiratory system,mucus secreting cell,5,269,5,269,-0.021150015,-0.5833333
CEACAM5,ADAM9,AND,18,0.0,0.0,0.0021742461,0.0,0.053117782,0.5833334,skin of body,sebum secreting cell,0.5833334,skin of body,sebum secreting cell,2,65,2,65,0.0,-0.5833334
CEACAM5,MUC1,AND,18,0.0,0.0,0.0023843588,0.0034246575,0.064665124,0.5895954,colon,intestinal crypt stem cell of colon,0.5895954,colon,intestinal crypt stem cell of colon,3,1703,3,1703,-0.0034246575,-0.5895954
CDH1,NECTIN4,AND,18,0.12361221686005593,0.2414263,0.27142662,0.13269821,0.27713627,0.8342066,bladder organ,bladder urothelial cell,0.8342066,bladder organ,bladder urothelial cell,6,26663,6,26663,0.108728096,-0.5927803
CEACAM5,CD46,AND,18,0.0,0.0,0.003626189,0.004382512,0.06235566,0.5964912,skin of body,sebum secreting cell,0.5964912,skin of body,sebum secreting cell,2,65,2,65,-0.004382512,-0.5964912
TMPRSS2,MME,AND,18,0.0270750742405653,0.28494355,0.30300003,0.13348165,0.45544556,0.88183093,small intestine,enterocyte of epithelium proper of ileum,0.88183093,small intestine,enterocyte of epithelium proper of ileum,3,6475,3,6475,0.1514619,-0.59688735
PSCA,EPCAM,AND,18,0.06918617449700833,0.14935064,0.24018294,0.15148655,0.3553719,0.7486237,bladder organ,bladder urothelial cell,0.7486237,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.0021359026,-0.5992731
PSCA,TMPRSS2,AND,18,0.06905203424394131,0.16233766,0.23813091,0.12705001,0.28760332,0.7639985,bladder organ,bladder urothelial cell,0.7639985,bladder organ,bladder urothelial cell,6,26663,6,26663,0.03528765,-0.60166085
TACSTD2,CEACAM5,AND,18,0.0,0.0,0.003626189,0.0034246575,0.064665124,0.6096491,skin of body,sebum secreting cell,0.6096491,skin of body,sebum secreting cell,2,65,2,65,-0.0034246575,-0.6096491
ADAM9,MSLN,AND,18,0.0,0.0,0.0021820306,0.015124326,0.15011548,0.6185567,ovary,glandular epithelial cell,0.6185567,ovary,glandular epithelial cell,3,232,3,232,-0.015124326,-0.6185567
CDH1,MME,AND,18,0.02328509092330933,0.2589727,0.2792362,0.15959714,0.43636364,0.9217391,small intestine,paneth cell of epithelium of small intestine,0.9217391,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.09937556,-0.6627664
ERBB2,MUC1,AND,18,0.005412371130660178,0.07179094,0.09825995,0.10565469,0.34180138,0.75110567,lung,club cell,0.75110567,lung,club cell,4,1722,4,1722,-0.033863746,-0.67931473
PSCA,ADAM9,AND,18,0.046883904933929445,0.12362758,0.20015137,0.09642271,0.23966943,0.81508964,bladder organ,bladder urothelial cell,0.81508964,bladder organ,bladder urothelial cell,6,26663,6,26663,0.027204871,-0.69146204
EPCAM,MME,AND,18,0.02483148304745555,0.27788472,0.29765338,0.17926729,0.46363637,0.9733769,small intestine,enterocyte of epithelium proper of ileum,0.9733769,small intestine,enterocyte of epithelium proper of ileum,3,6475,3,6475,0.098617435,-0.6954922
TMPRSS2,CEACAM5,AND,18,0.0,0.0,0.0025150778,0.0017123288,0.03926097,0.7162018,colon,"BEST4+ intestinal epithelial cell, human",0.7162018,colon,"BEST4+ intestinal epithelial cell, human",4,1090,4,1090,-0.0017123288,-0.7162018
TMPRSS2,MUC1,AND,18,0.02081908779218793,0.10660173,0.15076403,0.119022414,0.31570247,0.8331424,lung,pulmonary alveolar type 2 cell,0.8331424,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.012420684,-0.7265407
TMPRSS2,FOLR1,AND,18,0.0,0.0,0.002025336,0.024286084,0.085450344,0.730548,lung,pulmonary alveolar type 2 cell,0.730548,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.024286084,-0.730548
STEAP4,FOLR1,AND,18,0.0,0.0,0.0023661677,0.0173547,0.06928407,0.73596644,lung,pulmonary alveolar type 2 cell,0.73596644,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.0173547,-0.73596644
FOLR1,ERBB2,AND,18,0.0,0.0,0.0022026934,0.024741404,0.13793103,0.7362889,lung,club cell,0.7362889,lung,club cell,4,1722,4,1722,-0.024741404,-0.7362889
PSCA,CD46,AND,18,0.07031339071691037,0.15728715,0.24588142,0.16770633,0.37851238,0.908059,bladder organ,bladder urothelial cell,0.908059,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.010419175,-0.7507719
PSCA,NECTIN4,AND,18,0.015117056947201491,0.05699856,0.092862904,0.072748065,0.21652892,0.8122459,bladder organ,bladder urothelial cell,0.8122459,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.015749507,-0.75524735
ADAM9,FOLR1,AND,18,0.0,0.0,0.0014868162,0.023435185,0.10344828,0.75609756,respiratory system,mucus secreting cell,0.75609756,respiratory system,mucus secreting cell,5,269,5,269,-0.023435185,-0.75609756
STEAP4,MUC1,AND,18,0.017578347679227592,0.09858891,0.12838699,0.08172542,0.28264463,0.85780174,lung,pulmonary alveolar type 2 cell,0.85780174,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.016863495,-0.75921285
PSCA,TACSTD2,AND,18,0.07281448058784008,0.16233766,0.24087507,0.18352118,0.40661156,0.9231242,bladder organ,bladder urothelial cell,0.9231242,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.02118352,-0.76078653
PSCA,CDH1,AND,18,0.05943732298910618,0.1441408,0.21890362,0.12452108,0.30247933,0.9103992,bladder organ,bladder urothelial cell,0.9103992,bladder organ,bladder urothelial cell,6,26663,6,26663,0.019619718,-0.7662584
CEACAM5,CDH1,AND,18,0.0,0.0,0.003626189,0.004382512,0.055427253,0.7716776,colon,"BEST4+ intestinal epithelial cell, human",0.7716776,colon,"BEST4+ intestinal epithelial cell, human",4,1090,4,1090,-0.004382512,-0.7716776
TACSTD2,MUC1,AND,18,0.022439458500593902,0.113011986,0.15009971,0.18759695,0.46115702,0.8927382,lung,club cell,0.8927382,lung,club cell,4,1722,4,1722,-0.07458496,-0.77972627
EPCAM,MUC1,AND,18,0.019198718387633564,0.10660173,0.15145427,0.1599791,0.40826446,0.8989899,lung,club cell,0.8989899,lung,club cell,4,1722,4,1722,-0.053377375,-0.7923882
EPCAM,CEACAM5,AND,18,0.0,0.0,0.003626189,0.004382512,0.05773672,0.7955291,colon,"BEST4+ intestinal epithelial cell, human",0.7955291,colon,"BEST4+ intestinal epithelial cell, human",4,1090,4,1090,-0.004382512,-0.7955291
CD46,MUC1,AND,18,0.02081908779218793,0.113011986,0.15291126,0.17429468,0.43140495,0.90880597,lung,pulmonary alveolar type 2 cell,0.90880597,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.061282694,-0.795794
CDH1,MSLN,AND,18,0.0,0.0,0.00309472,0.028770838,0.1778291,0.8,ovary,glandular epithelial cell,0.8,ovary,glandular epithelial cell,3,232,3,232,-0.028770838,-0.8
CD46,MSLN,AND,18,0.0,0.0,0.0033316638,0.030850388,0.21709007,0.8,ovary,glandular epithelial cell,0.8,ovary,glandular epithelial cell,3,232,3,232,-0.030850388,-0.8
FOLR1,MSLN,AND,18,0.0,0.0,0.0,0.009891313,0.085450344,0.8,ovary,glandular epithelial cell,0.8,ovary,glandular epithelial cell,3,232,3,232,-0.009891313,-0.8
EPCAM,MSLN,AND,18,0.0,0.0,0.0033316638,0.027554529,0.19168591,0.8,ovary,glandular epithelial cell,0.8,ovary,glandular epithelial cell,3,232,3,232,-0.027554529,-0.8
ADAM9,MUC1,AND,18,0.011342592351138596,0.070722565,0.117986046,0.10495126,0.26280993,0.8780488,respiratory system,mucus secreting cell,0.8780488,respiratory system,mucus secreting cell,5,269,5,269,-0.034228697,-0.8073262
MSLN,MUC1,AND,18,0.0,0.0,0.0007332072,0.021212492,0.20554273,0.82474226,ovary,glandular epithelial cell,0.82474226,ovary,glandular epithelial cell,3,232,3,232,-0.021212492,-0.82474226
CDH1,MUC1,AND,18,0.02081908779218793,0.09530053,0.13317594,0.13708985,0.34049585,0.9230958,lung,club cell,0.9230958,lung,club cell,4,1722,4,1722,-0.041789316,-0.82779527
CD46,FOLR1,AND,18,0.0,0.0,0.003477279,0.03971175,0.12702079,0.8325143,lung,club cell,0.8325143,lung,club cell,4,1722,4,1722,-0.03971175,-0.8325143
TACSTD2,MSLN,AND,18,0.0,0.0,0.0035909836,0.032652337,0.23787528,0.8556701,ovary,glandular epithelial cell,0.8556701,ovary,glandular epithelial cell,3,232,3,232,-0.032652337,-0.8556701
PSCA,MUC1,AND,18,0.0009020618279464545,0.035103787,0.0506583,0.088386506,0.32396695,0.8965129,stomach,epithelial cell,0.8965129,stomach,epithelial cell,3,1596,3,1596,-0.05328272,-0.8614091
TACSTD2,FOLR1,AND,18,0.0,0.0,0.003477279,0.041058976,0.13793103,0.87622166,lung,club cell,0.87622166,lung,club cell,4,1722,4,1722,-0.041058976,-0.87622166
CDH1,FOLR1,AND,18,0.0,0.0,0.0031364472,0.03249362,0.108545035,0.886896,lung,club cell,0.886896,lung,club cell,4,1722,4,1722,-0.03249362,-0.886896
EPCAM,FOLR1,AND,18,0.0,0.0,0.0031364472,0.037567206,0.11778291,0.8945673,lung,club cell,0.8945673,lung,club cell,4,1722,4,1722,-0.037567206,-0.8945673
FOLR1,MUC1,AND,18,0.0,0.0,0.0018967353,0.023005825,0.1039261,0.9230958,lung,club cell,0.9230958,lung,club cell,4,1722,4,1722,-0.023005825,-0.9230958
