marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,both_surface,on_frontier_all,on_frontier_surface,rank_surface
STEAP2,ERBB2,AND,18,0.3021179631352425,0.44418347,0.49206835,0.19179179,0.39655173,0.61060244,prostate gland,luminal cell of prostate epithelium,0.43589425,bladder organ,bladder urothelial cell,6,26663,3,10277,0.2523917,0.008289218,True,False,False,93
TACSTD2,ERBB2,AND,18,0.2979487255215645,0.45482177,0.48265103,0.30540782,0.5334873,0.7138756,lung,club cell,0.7138756,lung,club cell,4,1722,4,1722,0.14941394,-0.25905383,True,False,False,94
CD46,ERBB2,AND,18,0.2914529994130135,0.46743727,0.4906931,0.2768547,0.5555556,0.69063604,lung,club cell,0.69063604,lung,club cell,4,1722,4,1722,0.19058257,-0.22319877,True,False,False,95
FOLH1,ADAM9,AND,18,0.2893314987421035,0.5294118,0.50345916,0.057871494,0.34666666,0.57288134,small intestine,paneth cell of epithelium of small intestine,0.57288134,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.4715403,-0.04346955,True,False,False,96
EPCAM,ERBB2,AND,18,0.2882491752505302,0.46215853,0.4911206,0.25655675,0.53065133,0.73000276,lung,club cell,0.73000276,lung,club cell,4,1722,4,1722,0.20560178,-0.26784423,True,False,False,97
TMPRSS2,ERBB2,AND,18,0.2868376150727272,0.43814784,0.48524612,0.18984386,0.42528737,0.620241,prostate gland,luminal cell of prostate epithelium,0.5833333,respiratory system,mucus secreting cell,5,269,3,10277,0.24830398,-0.14518547,True,False,False,98
SLC45A3,ERBB2,AND,18,0.2740821078419685,0.44397846,0.46511358,0.07040316,0.35313532,0.43325302,prostate gland,luminal cell of prostate epithelium,0.1,ovary,glandular epithelial cell,3,232,3,10277,0.3735753,0.34397846,True,False,False,99
STEAP4,ERBB2,AND,18,0.2713921681046486,0.35553056,0.40655532,0.14557621,0.30254042,0.6210155,lung,respiratory goblet cell,0.6210155,lung,respiratory goblet cell,4,978,4,978,0.20995435,-0.26548493,True,False,False,100
STEAP1,ERBB2,AND,18,0.2581196680665016,0.43768996,0.45760217,0.18580352,0.34653464,0.50120485,prostate gland,luminal cell of prostate epithelium,0.37505275,lung,respiratory goblet cell,4,978,3,10277,0.25188643,0.06263721,True,False,False,101
FOLH1,HPN,AND,18,0.2479711145162582,0.5229412,0.5185651,0.026513025,0.36,0.22843373,prostate gland,luminal cell of prostate epithelium,0.09283841,liver,hepatocyte,4,7400,3,10277,0.49642813,0.43010277,True,False,False,102
ADAM9,ERBB2,AND,18,0.2170159101486206,0.35326487,0.36807477,0.13648689,0.37547892,0.5833333,respiratory system,mucus secreting cell,0.5833333,respiratory system,mucus secreting cell,5,269,5,269,0.21677798,-0.23006845,True,False,False,103
CDH1,ERBB2,AND,18,0.1971428602933883,0.44055083,0.4409467,0.20720935,0.46168584,0.7435981,lung,club cell,0.7435981,lung,club cell,4,1722,4,1722,0.23334149,-0.30304727,True,False,False,104
CD276,KLK3,AND,18,0.1920289844274521,0.2957616,0.31401902,0.050761174,0.17049809,0.27855423,prostate gland,luminal cell of prostate epithelium,0.050402902,exocrine gland,duct epithelial cell,4,3825,3,10277,0.2450004,0.24535868,False,False,False,105
CD276,KLK2,AND,18,0.1920289844274521,0.28823954,0.31343186,0.06374177,0.17624521,0.2554217,prostate gland,luminal cell of prostate epithelium,0.046243623,uterus,fibroblast,2,6311,3,10277,0.22449777,0.24199592,False,False,False,106
STEAP2,CD276,AND,18,0.1920289844274521,0.28823954,0.31084415,0.07669556,0.1650165,0.27228916,prostate gland,luminal cell of prostate epithelium,0.25263157,respiratory system,fibroblast,5,1671,3,10277,0.21154398,0.035607964,True,False,False,107
TMPRSS2,CD276,AND,18,0.1901059076189994,0.28823954,0.30876118,0.07845774,0.15517241,0.33333334,respiratory system,mucus secreting cell,0.33333334,respiratory system,mucus secreting cell,5,269,5,269,0.2097818,-0.045093805,True,False,False,108
CD276,CD46,AND,18,0.1901059076189994,0.2957616,0.3091935,0.09447552,0.19348659,0.36998326,lung,macrophage,0.36998326,lung,macrophage,4,16341,4,16341,0.20128606,-0.07422167,True,False,False,109
SLC45A3,CD276,AND,18,0.189144366979599,0.28823954,0.29980245,0.030364804,0.14851485,0.20337349,prostate gland,luminal cell of prostate epithelium,0.050985225,lung,basophil,4,1308,3,10277,0.25787473,0.23725432,True,False,False,110
FOLH1,ERBB2,AND,18,0.1781786948442459,0.35064936,0.39463133,0.042959183,0.25412542,0.58474576,small intestine,paneth cell of epithelium of small intestine,0.58474576,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.30769017,-0.23409641,True,False,False,111
TACSTD2,CD276,AND,18,0.1780379056930542,0.30639988,0.3059231,0.100078166,0.18390805,0.33590966,uterus,epithelial cell of uterus,0.33590966,uterus,epithelial cell of uterus,2,1319,2,1319,0.20632172,-0.029509783,True,False,False,112
HPN,ERBB2,AND,18,0.1698235556483268,0.34968683,0.36513492,0.044036105,0.1140625,0.30763274,pancreas,pancreatic acinar cell,0.30763274,pancreas,pancreatic acinar cell,2,5482,2,5482,0.3056507,0.042054087,True,False,False,113
EPCAM,CD276,AND,18,0.166931439936161,0.30639988,0.31000784,0.096785426,0.18965517,0.34497207,uterus,epithelial cell of uterus,0.34497207,uterus,epithelial cell of uterus,2,1319,2,1319,0.20961446,-0.038572192,True,False,False,114
STEAP4,CD276,AND,18,0.1621237501502037,0.26076925,0.27101538,0.055322297,0.11551155,0.4,respiratory system,smooth muscle cell,0.4,respiratory system,smooth muscle cell,3,116,3,116,0.20544696,-0.13923076,True,False,False,115
NECTIN4,KLK2,AND,18,0.1509307026863098,0.25875676,0.30191734,0.07168557,0.26819924,0.2746988,prostate gland,luminal cell of prostate epithelium,0.013841396,exocrine gland,duct epithelial cell,4,3825,3,10277,0.18707119,0.24491537,False,False,False,116
NECTIN4,KLK3,AND,18,0.1509307026863098,0.26692355,0.30150092,0.0696052,0.24712643,0.36363637,prostate gland,basal cell of prostate epithelium,0.061915793,exocrine gland,duct epithelial cell,4,3825,3,3440,0.19731835,0.20500776,False,False,False,117
STEAP2,NECTIN4,AND,18,0.1509307026863098,0.26843902,0.2978082,0.09437679,0.21122113,0.5666274,bladder organ,bladder urothelial cell,0.5666274,bladder organ,bladder urothelial cell,6,26663,6,26663,0.17406224,-0.29818836,True,False,False,118
STEAP1,CD276,AND,18,0.1508297964930534,0.2957616,0.29463065,0.06878911,0.14851485,0.25263157,respiratory system,fibroblast,0.25263157,respiratory system,fibroblast,5,1671,5,1671,0.22697248,0.04313001,True,False,False,119
TMPRSS2,NECTIN4,AND,18,0.1493843108415603,0.25759083,0.301532,0.10535937,0.25287357,0.7165861,bladder organ,bladder urothelial cell,0.7165861,bladder organ,bladder urothelial cell,6,26663,6,26663,0.15223145,-0.45899528,True,False,False,120
EPCAM,NECTIN4,AND,18,0.1398195922374725,0.2751125,0.29808408,0.14747673,0.29310346,0.70044374,bladder organ,bladder urothelial cell,0.70044374,bladder organ,bladder urothelial cell,6,26663,6,26663,0.12763578,-0.42533123,True,False,False,121
CDH1,CD276,AND,18,0.1390567779541015,0.27971202,0.27629453,0.06802346,0.17049809,0.36191761,uterus,epithelial cell of uterus,0.36191761,uterus,epithelial cell of uterus,2,1319,2,1319,0.21168856,-0.08220559,True,False,False,122
TACSTD2,NECTIN4,AND,18,0.137113406509161,0.266527,0.29540738,0.16574049,0.3556582,0.8277296,bladder organ,bladder urothelial cell,0.8277296,bladder organ,bladder urothelial cell,6,26663,6,26663,0.10078651,-0.5612026,True,False,False,123
CD46,NECTIN4,AND,18,0.1347938187420368,0.26939505,0.2996782,0.15175185,0.33718246,0.8258506,bladder organ,bladder urothelial cell,0.8258506,bladder organ,bladder urothelial cell,6,26663,6,26663,0.11764321,-0.55645555,True,False,False,124
SLC45A3,NECTIN4,AND,18,0.1344072207808494,0.24716243,0.27874455,0.0348797,0.20792079,0.1879518,prostate gland,luminal cell of prostate epithelium,0.062195122,uterus,ciliated epithelial cell,2,317,3,10277,0.21228273,0.18496731,True,False,False,125
STEAP1,NECTIN4,AND,18,0.1283014208078384,0.2600473,0.28584993,0.09207222,0.21818182,0.4118001,bladder organ,bladder urothelial cell,0.4118001,bladder organ,bladder urothelial cell,6,26663,6,26663,0.16797507,-0.1517528,True,False,False,126
STEAP4,NECTIN4,AND,18,0.1267754897475242,0.2227135,0.25968328,0.09470035,0.20826447,0.5,respiratory system,mucus secreting cell,0.5,respiratory system,mucus secreting cell,5,269,5,269,0.12801315,-0.2772865,True,False,False,127
CDH1,NECTIN4,AND,18,0.1236122168600559,0.2414263,0.27142662,0.13269821,0.27713627,0.8342066,bladder organ,bladder urothelial cell,0.8342066,bladder organ,bladder urothelial cell,6,26663,6,26663,0.108728096,-0.5927803,True,False,False,128
HPN,CD276,AND,18,0.1206500455737114,0.24428904,0.24588452,0.02279906,0.07434944,0.21360898,pancreas,pancreatic acinar cell,0.21360898,pancreas,pancreatic acinar cell,2,5482,2,5482,0.22148998,0.03068006,True,False,False,129
ADAM9,NECTIN4,AND,18,0.1056634947657585,0.20568731,0.23734304,0.10059306,0.23180076,0.74638224,bladder organ,bladder urothelial cell,0.74638224,bladder organ,bladder urothelial cell,6,26663,6,26663,0.105094254,-0.54069495,True,False,False,130
FOLH1,CD276,AND,18,0.10306161865592,0.24660634,0.24350794,0.019478954,0.122112215,0.20385543,prostate gland,luminal cell of prostate epithelium,0.1689166,tongue,salivary gland cell,2,734,3,10277,0.22712737,0.07768974,True,False,False,131
TMEFF2,KLK2,AND,18,0.1010144919157028,0.3566885,0.40917903,0.018678658,0.61333334,0.23589744,prostate gland,luminal cell of prostate epithelium,0.02631579,tongue,taste receptor cell,2,29,3,10277,0.33800983,0.33037272,False,False,False,132
TMEFF2,KLK3,AND,18,0.1010144919157028,0.3566885,0.40986884,0.019790078,0.60888886,0.23333333,prostate gland,luminal cell of prostate epithelium,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.33689842,0.33017334,False,False,False,133
STEAP2,TMEFF2,AND,18,0.1010144919157028,0.3538204,0.4067305,0.01858397,0.5777778,0.23589744,prostate gland,luminal cell of prostate epithelium,0.0952381,eye,retinal bipolar neuron,3,55,3,10277,0.33523643,0.25858232,True,False,False,134
TMEFF2,TMPRSS2,AND,18,0.1010144919157028,0.35126182,0.4001282,0.017142728,0.45333335,0.23333333,prostate gland,luminal cell of prostate epithelium,0.13207547,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.33411908,0.21918635,True,False,False,135
TMEFF2,CD46,AND,18,0.1010144919157028,0.3477472,0.38621688,0.021837406,0.45333335,0.23333333,prostate gland,luminal cell of prostate epithelium,0.17281349,bone marrow,common myeloid progenitor,4,359,3,10277,0.3259098,0.17493372,True,False,False,136
HPN,NECTIN4,AND,18,0.1008547022938728,0.20947155,0.22604595,0.012681505,0.0625,0.12562323,uterus,epithelial cell of uterus,0.12562323,uterus,epithelial cell of uterus,2,1319,2,1319,0.19679005,0.08384833,True,False,False,137
TMEFF2,TACSTD2,AND,18,0.0958620704710483,0.33042848,0.38496965,0.018489674,0.37333333,0.22307692,prostate gland,luminal cell of prostate epithelium,0.13750373,lung,pulmonary alveolar type 1 cell,4,3046,3,10277,0.31193882,0.19292475,True,False,False,138
CD276,ADAM9,AND,18,0.0949150562286376,0.2300747,0.24083287,0.05385621,0.13636364,0.4015625,colon,colon macrophage,0.4015625,colon,colon macrophage,2,304,2,304,0.1762185,-0.17148781,True,False,False,139
FOLH1,NECTIN4,AND,18,0.0905769251286983,0.21527778,0.24887392,0.032998964,0.16171618,0.27050623,tongue,salivary gland cell,0.27050623,tongue,salivary gland cell,2,734,2,734,0.18227881,-0.055228457,True,False,False,140
TMEFF2,EPCAM,AND,18,0.0867316357791423,0.33428016,0.3837341,0.015915819,0.39555556,0.20963855,prostate gland,luminal cell of prostate epithelium,0.18181819,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.31836435,0.15246198,True,False,False,141
TMEFF2,SLC45A3,AND,18,0.085111990571022,0.35286438,0.39271313,0.013305329,0.38222224,0.22307692,prostate gland,luminal cell of prostate epithelium,0.09461805,vasculature,mast cell,2,91,3,10277,0.33955905,0.25824633,True,False,False,142
STEAP1,TMEFF2,AND,18,0.0843448281288146,0.34136453,0.37651217,0.01603295,0.50666666,0.22820513,prostate gland,luminal cell of prostate epithelium,0.05882353,musculature,epithelial cell,2,48,3,10277,0.32533157,0.282541,True,False,False,143
NECTIN4,ERBB2,AND,18,0.0805128220468759,0.14523467,0.20874675,0.09172969,0.2655889,0.5833333,eye,corneal epithelial cell,0.5833333,eye,corneal epithelial cell,3,4179,3,4179,0.05350498,-0.43809864,True,False,False,144
STEAP4,TMEFF2,AND,18,0.0783448282629251,0.30584693,0.34988517,0.009809616,0.4888889,0.15897436,prostate gland,luminal cell of prostate epithelium,0.1344697,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.29603732,0.17137723,True,False,False,145
TMEFF2,CDH1,AND,18,0.0777361333370208,0.300372,0.32450613,0.0143145155,0.21333334,0.22820513,prostate gland,luminal cell of prostate epithelium,0.14923412,lung,pulmonary alveolar type 1 cell,4,3046,3,10277,0.2860575,0.15113789,True,False,False,146
CD276,ERBB2,AND,18,0.0767948735505342,0.18181819,0.20119148,0.05690947,0.15134099,0.26766935,tongue,salivary gland cell,0.26766935,tongue,salivary gland cell,2,734,2,734,0.124908715,-0.08585116,True,False,False,147
PSCA,TACSTD2,AND,18,0.07281448058784,0.16233766,0.24087507,0.18352118,0.40661156,0.9231242,bladder organ,bladder urothelial cell,0.9231242,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.02118352,-0.76078653,True,False,False,148
PSCA,STEAP1,AND,18,0.0703133907169103,0.16233766,0.22221492,0.09818512,0.2429752,0.44206488,bladder organ,bladder urothelial cell,0.44206488,bladder organ,bladder urothelial cell,6,26663,6,26663,0.06415254,-0.27972722,True,False,False,149
PSCA,CD46,AND,18,0.0703133907169103,0.15728715,0.24588142,0.16770633,0.37851238,0.908059,bladder organ,bladder urothelial cell,0.908059,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.010419175,-0.7507719,True,False,False,150
PSCA,EPCAM,AND,18,0.0691861744970083,0.14935064,0.24018294,0.15148655,0.3553719,0.7486237,bladder organ,bladder urothelial cell,0.7486237,bladder organ,bladder urothelial cell,6,26663,6,26663,-0.0021359026,-0.5992731,True,False,False,151
PSCA,TMPRSS2,AND,18,0.0690520342439413,0.16233766,0.23813091,0.12705001,0.28760332,0.7639985,bladder organ,bladder urothelial cell,0.7639985,bladder organ,bladder urothelial cell,6,26663,6,26663,0.03528765,-0.60166085,True,False,False,152
FOLH1,TMEFF2,AND,18,0.0689064547419548,0.22927979,0.3389352,0.010478385,0.5777778,0.23333333,prostate gland,luminal cell of prostate epithelium,0.10989011,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.21880141,0.119389676,True,False,False,153
PSCA,KLK2,AND,18,0.068693021312356,0.16233766,0.25283808,0.08461143,0.27062705,0.2794872,prostate gland,luminal cell of prostate epithelium,0.017272769,exocrine gland,duct epithelial cell,4,3825,3,10277,0.07772623,0.14506489,False,False,False,154
PSCA,KLK3,AND,18,0.068693021312356,0.16233766,0.25243744,0.08940267,0.26732674,0.35897437,prostate gland,luminal cell of prostate epithelium,0.05190035,exocrine gland,duct epithelial cell,4,3825,3,10277,0.07293499,0.11043731,False,False,False,155
PSCA,STEAP2,AND,18,0.0685007136315107,0.16233766,0.2510463,0.109823175,0.22644629,0.6344348,bladder organ,bladder urothelial cell,0.6344348,bladder organ,bladder urothelial cell,6,26663,6,26663,0.052514486,-0.47209716,True,False,False,156
PSCA,SLC45A3,AND,18,0.0631410282105207,0.16233766,0.23246008,0.049117837,0.22442244,0.17179488,prostate gland,luminal cell of prostate epithelium,0.16450216,stomach,epithelial cell,3,1596,3,10277,0.11321983,-0.002164498,True,False,False,157
PSCA,CDH1,AND,18,0.0594373229891061,0.1441408,0.21890362,0.12452108,0.30247933,0.9103992,bladder organ,bladder urothelial cell,0.9103992,bladder organ,bladder urothelial cell,6,26663,6,26663,0.019619718,-0.7662584,True,False,False,158
PSCA,STEAP4,AND,18,0.0593122169375419,0.13311689,0.20812653,0.115584895,0.27933884,0.4883922,lung,respiratory goblet cell,0.4883922,lung,respiratory goblet cell,4,978,4,978,0.017531991,-0.35527533,True,False,False,159
TMEFF2,HPN,AND,18,0.0560969527810812,0.30239898,0.33457196,0.0049393997,0.31555554,0.1,prostate gland,luminal cell of prostate epithelium,0.0625,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,10277,0.29745957,0.23989898,True,False,False,160
TMEFF2,ADAM9,AND,18,0.0544258650392293,0.24669775,0.2969874,0.010300703,0.32,0.20769231,prostate gland,luminal cell of prostate epithelium,0.14990512,musculature,epithelial cell,2,48,3,10277,0.23639706,0.09679264,True,False,False,161
FOLH1,PSCA,AND,18,0.0536128152161836,0.10323597,0.17822017,0.031653997,0.16831683,0.2,prostate gland,luminal cell of prostate epithelium,0.15254237,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.071581975,-0.0493064,True,False,False,162
TMEFF2,ERBB2,AND,18,0.0527009230107069,0.1616286,0.21429911,0.010587981,0.045454547,0.19951807,prostate gland,luminal cell of prostate epithelium,0.104032815,lung,club cell,4,1722,3,10277,0.15104063,0.05759579,True,False,False,163
PSCA,ADAM9,AND,18,0.0468839049339294,0.12362758,0.20015137,0.09642271,0.23966943,0.81508964,bladder organ,bladder urothelial cell,0.81508964,bladder organ,bladder urothelial cell,6,26663,6,26663,0.027204871,-0.69146204,True,False,False,164
PSCA,HPN,AND,18,0.0412926103919744,0.13708514,0.18381293,0.01654195,0.08250825,0.08974359,prostate gland,luminal cell of prostate epithelium,0.082114734,stomach,epithelial cell,3,1596,3,10277,0.12054319,0.054970406,True,False,False,165
CD276,NECTIN4,AND,18,0.0383897885680198,0.12325247,0.123072214,0.028401528,0.11818182,0.24,respiratory system,basal cell,0.24,respiratory system,basal cell,5,10003,5,10003,0.09485094,-0.11674753,True,False,False,166
TMEFF2,NECTIN4,AND,18,0.0275990676134824,0.111257166,0.13488968,0.0036574723,0.054545455,0.08289157,prostate gland,luminal cell of prostate epithelium,0.07631579,tongue,taste receptor cell,2,29,3,10277,0.10759969,0.034941375,True,False,False,167
MME,KLK3,AND,18,0.0270750742405653,0.28494355,0.31142437,0.1281053,0.4719472,0.45454547,prostate gland,basal cell of prostate epithelium,0.022727273,endocrine gland,neuro-medullary thymic epithelial cell,2,112,3,3440,0.15683825,0.26221627,False,False,False,168
MME,KLK2,AND,18,0.0270750742405653,0.27754012,0.30985615,0.14696941,0.46534654,0.42307693,prostate gland,luminal cell of prostate epithelium,0.075610965,uterus,fibroblast,2,6311,3,10277,0.13057071,0.20192915,False,False,False,169
STEAP1,MME,AND,18,0.0270750742405653,0.26813388,0.284466,0.144636,0.42574257,0.37638554,prostate gland,luminal cell of prostate epithelium,0.18074721,bladder organ,bladder urothelial cell,6,26663,3,10277,0.12349787,0.08738667,True,False,False,170
STEAP2,MME,AND,18,0.0270750742405653,0.28259063,0.30743214,0.17256084,0.46534654,0.46024096,prostate gland,luminal cell of prostate epithelium,0.24194302,small intestine,enterocyte of epithelium proper of ileum,3,6475,3,10277,0.11002979,0.04064761,True,False,False,171
TMPRSS2,MME,AND,18,0.0270750742405653,0.28494355,0.30300003,0.13348165,0.45544556,0.88183093,small intestine,enterocyte of epithelium proper of ileum,0.88183093,small intestine,enterocyte of epithelium proper of ileum,3,6475,3,6475,0.1514619,-0.59688735,True,False,False,172
SLC45A3,MME,AND,18,0.0263018783181905,0.27283424,0.30077562,0.06681532,0.44554454,0.32564104,prostate gland,luminal cell of prostate epithelium,0.08730159,small intestine,intestinal crypt stem cell of small intestine,5,531,3,10277,0.20601892,0.18553266,True,False,False,173
TACSTD2,MME,AND,18,0.0263018783181905,0.27934515,0.30127817,0.23109734,0.4909091,0.59090906,prostate gland,basal cell of prostate epithelium,0.31438887,bladder organ,bladder urothelial cell,6,26663,3,3440,0.048247814,-0.035043716,True,False,False,174
CD46,MME,AND,18,0.0259152803570032,0.27675456,0.3088764,0.22141704,0.53636366,0.8086957,small intestine,paneth cell of epithelium of small intestine,0.8086957,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.05533752,-0.5319411,True,False,False,175
EPCAM,MME,AND,18,0.0248314830474555,0.27788472,0.29765338,0.17926729,0.46363637,0.9733769,small intestine,enterocyte of epithelium proper of ileum,0.9733769,small intestine,enterocyte of epithelium proper of ileum,3,6475,3,6475,0.098617435,-0.6954922,True,False,False,176
PSCA,ERBB2,AND,18,0.024540133960545,0.11196091,0.15636116,0.10333943,0.29090908,0.62112767,bladder organ,bladder urothelial cell,0.62112767,bladder organ,bladder urothelial cell,6,26663,6,26663,0.008621477,-0.5091668,True,False,False,177
PSCA,CD276,AND,18,0.0237179491668939,0.062049065,0.11381442,0.026710056,0.076033056,0.202421,bladder organ,bladder urothelial cell,0.202421,bladder organ,bladder urothelial cell,6,26663,6,26663,0.03533901,-0.14037193,True,False,False,178
CDH1,MME,AND,18,0.0232850909233093,0.2589727,0.2792362,0.15959714,0.43636364,0.9217391,small intestine,paneth cell of epithelium of small intestine,0.9217391,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.09937556,-0.6627664,True,False,False,179
TACSTD2,MUC1,AND,18,0.0224394585005939,0.113011986,0.15009971,0.18759695,0.46115702,0.8927382,lung,club cell,0.8927382,lung,club cell,4,1722,4,1722,-0.07458496,-0.77972627,True,False,False,180
FOLH1,MME,AND,18,0.0222012954764068,0.2693048,0.24922283,0.042018544,0.32673267,0.823642,small intestine,enterocyte of epithelium proper of duodenum,0.823642,small intestine,enterocyte of epithelium proper of duodenum,4,13488,4,13488,0.22728626,-0.5543372,True,False,False,181
STEAP1,MUC1,AND,18,0.0208190877921879,0.09858891,0.13602863,0.09770115,0.2677686,0.4766482,lung,respiratory goblet cell,0.4766482,lung,respiratory goblet cell,4,978,4,978,0.0008877665,-0.3780593,True,False,False,182
STEAP2,MUC1,AND,18,0.0208190877921879,0.10660173,0.15024161,0.10172414,0.2655889,0.5419049,lung,respiratory goblet cell,0.5419049,lung,respiratory goblet cell,4,978,4,978,0.0048775896,-0.4353032,True,False,False,183
TMPRSS2,MUC1,AND,18,0.0208190877921879,0.10660173,0.15076403,0.119022414,0.31570247,0.8331424,lung,pulmonary alveolar type 2 cell,0.8331424,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.012420684,-0.7265407,True,False,False,184
CD46,MUC1,AND,18,0.0208190877921879,0.113011986,0.15291126,0.17429468,0.43140495,0.90880597,lung,pulmonary alveolar type 2 cell,0.90880597,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,-0.061282694,-0.795794,True,False,False,185
CDH1,MUC1,AND,18,0.0208190877921879,0.09530053,0.13317594,0.13708985,0.34049585,0.9230958,lung,club cell,0.9230958,lung,club cell,4,1722,4,1722,-0.041789316,-0.82779527,True,False,False,186
